capture_date,last_update,confirmed,deaths,recovered,active,incident_rate,case_fatality_ratio,uid
2021-04-15,2021-04-15 04:20:54,420365,7879,383713,28773,6560.922551256403,1.8743235045734064,17002
2021-04-15,2021-04-15 04:20:54,5937,179,5590,168,2264.5266120973088,3.0149907360619843,17003
2021-04-15,2021-04-15 04:20:54,192724,5349,174200,13175,7600.9744758169645,2.775471658952699,17004
2021-04-15,2021-04-15 04:20:54,72888,1443,70048,1397,3520.9723154808203,1.9797497530457688,17005
2021-04-15,2021-04-15 04:20:54,49548,1181,47343,1024,4070.0654522514,2.383547267296359,17006
2021-04-15,2021-04-15 04:20:54,53881,1061,50423,2397,5397.518670079287,1.9691542473228039,17007
2021-04-15,2021-04-15 04:20:54,720680,14772,678296,27612,9722.409216997192,2.0497308097907534,17008
2021-04-15,2021-04-15 04:20:54,17272,652,16427,193,4301.985857644917,3.774895785085688,17009
2021-04-15,2021-04-15 04:20:54,13565,315,12879,371,3225.890835758994,2.3221525985993363,17010
2021-04-15,2021-04-15 04:20:54,28897,791,27431,675,1973.1810707906106,2.737308371111188,17011
2021-04-15,2021-04-15 04:20:54,46593,1299,43976,1318,3880.893639209245,2.7879724422123493,17012
2021-04-15,2021-04-15 04:20:54,7070,208,6652,210,1321.9252616738902,2.942008486562942,17013
2021-04-15,2021-04-15 04:20:54,46468,2109,42919,1440,2603.565811642088,4.538607213566325,17014
2021-04-15,2021-04-15 04:20:54,115364,3135,109956,2273,3952.094167300432,2.717485524080302,17015
2021-04-15,2021-04-15 04:20:54,1368,22,1316,30,2843.2472876917327,1.608187134502924,17016
2021-04-15,2021-04-15 04:20:54,2305,40,2257,8,2784.92635953943,1.735357917570499,17017
2021-04-15,2021-04-15 04:20:54,51867,1815,49452,600,4713.527798427097,3.4993348371797097,17018
2021-04-15,2021-04-15 04:20:54,21875,742,20053,1080,2484.214590715,3.392,17019
2021-04-15,2021-04-15 04:20:54,50511,1883,46659,1969,3764.5724302513286,3.7279008532794835,17020
2021-04-15,2021-04-15 04:20:54,44707,1024,43065,618,4299.899396184749,2.2904690540631223,17021
2021-04-15,2021-04-15 04:20:54,51277,1721,48481,1075,3144.68610173483,3.3562805936384734,17022
2021-04-15,2021-04-15 04:20:54,52991,2792,49349,850,3552.4160867312153,5.268819233454738,17023
2021-04-15,2021-04-15 04:20:54,8464,330,7935,199,2430.912568714063,3.898865784499055,17024
2021-04-15,2021-04-15 04:20:54,36521,1105,34658,758,6764.350699383594,3.0256564716190684,17025
2021-04-15,2021-04-15 04:20:54,51995,1264,49099,1632,5511.442112102913,2.4310029810558706,17026
2021-04-15,2021-04-15 04:20:54,2986,47,2837,102,4872.715404699738,1.5740120562625586,17027
2021-04-15,2021-04-15 04:20:54,96961,3545,91002,2414,4437.905436423861,3.6561091572900444,17028
2021-04-15,2021-04-15 04:20:54,24518,898,22952,668,2709.581450451615,3.6626152214699403,17029
2021-04-15,2021-04-15 04:20:54,67434,2175,64443,816,5069.512782789186,3.225375923124833,17030
2021-04-15,2021-04-15 04:20:54,0,0,0,0,0.0,0.0,17034
2021-04-15,2021-04-15 04:20:54,220084,6780,207496,5808,4917.104680503479,3.0806419367150726,17031
2021-04-15,2021-04-15 04:20:54,1184,13,1159,12,2902.1741794739805,1.097972972972973,17032
2021-04-15,2021-04-15 04:20:54,1509,23,1480,6,1399.7105966162067,1.5241882041086812,17033
2021-04-15,2021-04-15 04:20:54,3803,146,3582,75,437.33002144676544,3.839074414935577,174
2021-04-15,2021-04-15 04:20:54,10084,139,8208,1737,182.74432539363244,1.3784212614042046,178
2021-04-15,2021-04-15 04:20:54,28714,745,25841,2128,32.06068542650359,2.5945531796336283,180
2021-04-15,2021-04-15 04:20:54,225343,3044,196060,26239,4423.595545761245,1.3508296241729274,188
2021-04-15,2021-04-15 04:20:54,45388,271,44833,284,172.06583827031903,0.5970741165065656,384
2021-04-15,2021-04-15 04:20:54,297973,6399,277694,13880,7258.308105585313,2.1475100092961443,191
2021-04-15,2021-04-15 04:20:54,89404,487,84114,4803,789.3266620851275,0.5447183571204868,192
2021-04-15,2021-04-15 04:20:54,53254,277,39061,13916,4410.776892743761,0.520148721222819,196
2021-04-15,2021-04-15 04:20:54,1590124,28124,1480882,81118,14848.507542546997,1.7686670976603083,203
2021-04-15,2021-04-15 04:20:54,662,1,660,1,1354.752890617006,0.1510574018126888,234
2021-04-15,2021-04-15 04:20:54,31,0,31,0,54.6043824420489,0.0,304
2021-04-15,2021-04-15 04:20:54,239532,2447,228685,8400,4135.421358678209,1.0215754053738122,208
2021-04-15,2021-04-15 04:20:54,712,13,699,0,0.0,1.8258426966292134,9999
